날짜,교통,문화/레져,소매,쇼핑,숙박,식음료,유흥
Sep-16,928,35989,1874530,3526659,97797,70537,1241
Oct-16,933,36925,1936281,3527801,102200,73676,1147
Nov-16,492,16015,1293647,2514181,28464,38627,816
Dec-16,243,15518,1374573,2672496,32880,40187,1573
Jan-17,531,25732,1497812,2856187,42743,57580,1463
Feb-17,250,20152,1505712,2658958,47791,51508,2245
Mar-17,452,5049,577024,899679,22357,20461,1073
Apr-17,564,2763,133716,658120,20903,14083,724
May-17,517,813,144861,725460,23913,14026,1229
Jun-17,448,1152,135553,798339,35486,13807,887
Jul-17,942,2979,164722,997000,46970,22493,742
Aug-17,541,3631,154323,1343351,49784,25494,1060
Sep-17,511,1915,166033,1048306,54697,19031,1020
Oct-17,264,2399,163895,930188,34586,21115,795
Nov-17,139,989,127060,805729,18405,13719,493
Dec-17,361,66175,109645,1167138,366491,16009,864
