구분,상세,2017년01월,2017년02월,2017년03월,2017년04월,2017년05월,2017년06월,2017년07월,2017년08월,2017년09월,2017년10월,2017년11월,2017년12월,데이터기준일자
형태별,개별여행,894040,821245,805739,950201,929167,1041106,1016349,1144262,960818,966747,905898,869130,2017-12-31
형태별,부분패키지,82672,78816,149467,142755,143207,97832,154012,73443,165187,137072,108449,104006,2017-12-31
형태별,패키지,28726,5760,45665,121632,146963,48450,20950,22684,60043,125860,83640,70639,2017-12-31
목적별,레저스포츠,115326,103570,90054,132865,167295,123460,120423,130712,72000,152179,223950,97218,2017-12-31
목적별,회의및업무,69954,76002,91981,95170,90130,63591,102675,48962,75824,134329,156964,95795,2017-12-31
목적별,휴양및관람,718621,675592,724341,892918,866575,953884,947766,1040438,931546,775827,645007,790990,2017-12-31
목적별,친지방문,98571,47853,66110,29857,32054,19566,15796,12241,73116,93209,34247,46529,2017-12-31
목적별,교육여행,109,130,19797,60635,60053,14210,1205,4323,16715,51842,12292,2214,2017-12-31
목적별,기타방문,2857,2674,8588,3143,3230,12677,3446,3713,16847,22293,25527,11029,2017-12-31
