"경제활동별 GDP 및 GNI(계절조정, 실질, 분기)별",2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4,2018 3/4,2018 4/4
"농림어업",7357.6,7123.2,7020.7,6940.2,7207.6,7188.2,7062.1,7072.9,7497.2,7286.8,6889.2,7307.7
"광업",583.3,559.7,628.4,585.7,585.3,572.7,556.1,547.4,556.8,526.5,502.1,580.7
"제조업",105694.7,107051.1,106964.1,108901.9,110718.6,110866.9,113805.0,111872.2,113653.1,114354.1,117011.4,118074.2
"음식료품 및 담배 제조업",4102.3,4126.2,4065.1,4118.3,4125.7,4147.8,4220.9,4175.1,4209.3,4185.1,4087.1,4376.1
"섬유 및 가죽제품 제조업",4609.7,4583.3,4528.7,4543.0,4895.1,4622.9,4663.6,4638.8,4863.8,4626.1,4545.8,4760.9
"목재, 종이, 인쇄 및 복제업",2488.0,2518.1,2517.1,2563.5,2587.2,2532.5,2547.8,2535.9,2581.4,2553.8,2510.5,2632.7
"석탄 및 석유제품 제조업",2391.0,2549.8,2469.3,2454.1,2524.2,2580.0,2683.9,2677.8,2546.8,2919.6,2738.2,2708.3
"화학제품 제조업",14354.1,14979.8,15322.6,15324.9,15079.8,15189.4,16026.5,15746.4,15549.5,15929.4,16278.0,16575.2
"비금속광물제품 제조업",3119.5,3249.7,3354.5,3439.2,3453.0,3268.5,3379.0,3280.5,3210.3,3183.3,3218.0,3401.3
"1차 금속제품 제조업",8397.1,8536.6,8616.9,8581.5,8702.2,8607.8,8825.4,8813.0,8763.6,8723.5,8588.9,9052.6
"금속제품 제조업",7256.6,7295.6,7130.7,7146.7,7318.8,7048.8,7022.5,6844.4,6723.9,6784.2,6557.1,7155.5
"기계 및 장비 제조업",7798.7,7698.9,7945.0,8420.4,8984.9,9389.7,9157.2,8889.6,9750.0,9314.3,9384.9,8900.8
"전기 및 전자기기 제조업",32935.6,33167.5,33422.5,34199.5,34129.9,34749.1,37264.4,37511.0,37688.0,38245.8,41704.1,39625.7
"정밀기기 제조업",2199.6,2264.5,2411.5,2535.6,2709.2,2897.3,2994.3,2986.9,2893.8,3255.8,3463.4,3356.2
"운송장비 제조업",15081.0,15174.0,14433.1,14666.9,15109.8,14900.9,14707.1,13630.9,14249.8,14111.1,13996.5,15246.9
"기타 제조업",1293.6,1246.3,1169.5,1317.4,1364.6,1339.6,1226.0,1267.2,1348.2,1342.1,1166.3,1306.1
"전기, 가스 및 수도사업",7351.8,7306.8,7520.5,7315.9,7340.5,7590.1,7719.8,7748.9,7209.4,7890.0,7859.0,8141.8
"전기업",3756.6,3735.2,3848.1,3732.8,3715.4,3906.9,3947.6,3942.7,3455.3,3923.3,4052.9,4147.1
"가스, 증기 및 온수업",1055.1,1017.0,1088.5,1067.9,1090.1,1073.0,1113.5,1179.6,1195.2,1291.0,1211.7,1209.6
"수도, 폐기물 및 재활용서비스업",2451.5,2476.8,2486.6,2423.9,2460.2,2505.6,2563.0,2530.9,2493.2,2588.1,2492.3,2686.2
"건설업",15907.5,16228.0,16600.9,16959.9,17780.0,17495.9,17674.4,17388.9,17747.4,17199.3,16224.6,16389.5
"건물건설",9648.0,9988.4,10369.0,10754.1,11453.6,11405.8,11635.8,11490.3,11637.0,11388.0,10775.5,10743.2
"주거용 건물건설",4601.2,4861.3,5097.5,5344.4,5742.4,5687.9,5898.0,5846.8,5972.7,5686.3,5776.9,5447.8
"비주거용 건물건설",5045.5,5124.7,5268.5,5406.1,5706.5,5713.6,5732.3,5637.8,5658.4,5697.0,4991.4,5290.5
"토목건설",5435.9,5406.4,5427.1,5384.9,5456.7,5255.5,5183.1,5109.1,5271.4,5030.7,4695.9,4902.8
"건물수선",820.7,827.4,798.4,810.7,850.0,812.3,828.2,765.2,814.7,755.8,727.4,723.5
"서비스업",199781.1,200948.9,201679.1,202390.0,203172.7,204613.2,206707.9,207322.5,209645.5,210746.1,211734.7,213019.6
"도소매 및 음식숙박업",38754.5,39000.0,39135.7,39432.8,38914.0,39151.0,39633.3,39774.4,39472.1,39788.3,39972.6,40368.5
"도매 및 소매업",30842.1,31162.5,31311.2,31729.7,31368.3,31555.0,31992.6,32275.2,32235.6,32376.3,32543.4,32828.6
"음식점 및 숙박업",7957.1,7907.0,7902.1,7816.6,7679.7,7729.8,7788.0,7687.7,7473.3,7622.3,7644.6,7748.5
"운수 및 보관업",12583.5,12597.7,12680.1,12755.5,12770.0,12812.7,13075.6,13106.9,12977.0,13204.6,13194.2,13386.9
"금융 및 보험업",22541.3,22569.3,22723.4,23010.8,23180.3,23675.2,23744.1,23650.4,24535.4,24992.1,24678.0,24602.4
"부동산 및 임대업",24975.0,24965.3,24893.0,24725.9,25193.8,25010.5,25172.8,25119.4,25764.6,25585.4,25644.2,25655.2
"정보통신업",14423.3,14594.2,14645.4,14619.2,14758.1,14681.3,15039.2,15264.8,15433.2,15180.8,15489.4,15333.7
"통신업",5210.2,5277.8,5362.5,5419.3,5241.7,5408.1,5493.0,5516.1,5389.1,5504.4,5582.4,5707.6
"출판, 방송, 영화, 정보서비스",9213.4,9317.9,9298.2,9228.9,9494.2,9296.6,9559.1,9747.9,9993.5,9680.0,9901.8,9668.5
"사업서비스업",24332.3,24540.1,24600.2,24513.5,24706.6,24979.4,25074.2,25187.9,25472.8,25586.1,25319.2,25563.1
"전문,과학 및 기술서비스업",17066.5,17216.7,17187.3,17104.4,17238.5,17454.2,17393.4,17334.3,17726.6,18009.8,17757.5,17794.1
"사업지원 서비스업",7265.7,7323.1,7415.2,7412.2,7471.6,7527.6,7688.9,7867.7,7751.1,7568.5,7557.9,7773.6
"공공행정 및 국방",22457.4,22619.4,22719.4,22829.2,23039.9,23194.7,23317.5,23456.8,23793.4,23995.1,24188.7,24299.5
"교육서비스업",16300.3,16310.7,16296.0,16327.4,16330.2,16387.7,16429.3,16427.2,16575.8,16753.9,16870.4,16770.5
"보건 및 사회복지서비스업",15413.7,15544.6,15983.7,16215.9,16347.3,16700.4,17203.5,17487.1,17518.5,17659.4,18505.2,19132.4
"문화 및 기타서비스업",8335.3,8548.2,8388.7,8410.7,8351.0,8516.8,8546.8,8388.7,8690.1,8630.8,8485.4,8497.3
"총부가가치(기초가격)",336918.1,339403.1,340761.6,343288.0,347036.5,348635.5,353744.8,352262.3,356361.9,358168.5,360036.5,363448.9
"순생산물세",36921.7,37481.0,37629.6,37784.8,37719.9,38606.3,38877.8,39589.7,39354.1,39936.7,40319.0,40766.2
"국내총생산(시장가격, GDP)",373746.6,376768.3,378275.0,380965.2,384682.7,387115.3,392515.9,391681.4,395605.8,397959.2,400197.8,404051.9
"교역조건 변화를 반영한 실질무역손익",19573.6,15227.7,11849.4,13254.4,18410.7,15940.3,17870.1,13507.9,16857.2,10880.5,9466.4,5190.2
"국내총소득(GDI)",393320.2,391996.0,390124.3,394219.6,403093.4,403055.6,410385.9,405189.3,412463.0,408839.7,409664.1,409242.1
"국외순수취요소소득",786.7,1676.2,1480.2,350.3,499.3,-1778.5,598.2,942.0,-1270.0,-1811.3,66.9,538.7
"국민총소득(GNI)",394156.9,393708.9,391645.6,394625.9,403646.0,401349.4,411036.9,406180.2,411262.7,407104.3,409778.0,409818.1
