읍면동,도인구,장애인 인구,1급 인구 현황,2급 인구 현황,3급 인구 현황,4급 인구 현황,5급 인구 현황,6급 인구 현황,데이터기준일자
제주시,486756,24806,2412,3201,4501,3817,5016,5859,2019-03-31
한림읍,21376,1533,132,196,280,236,323,366,2019-03-31
애월읍,35734,2182,257,244,390,362,413,516,2019-03-31
구좌읍,15601,1249,82,154,201,225,293,294,2019-03-31
조천읍,24312,1525,147,180,257,240,331,370,2019-03-31
한경면,9122,837,66,99,154,132,184,202,2019-03-31
추자면,1756,178,14,26,19,30,45,44,2019-03-31
우도면,1855,167,13,17,25,36,42,34,2019-03-31
일도1동,2870,225,12,33,47,31,56,46,2019-03-31
일도2동,34074,1621,143,201,284,253,335,405,2019-03-31
이도1동,7761,423,36,60,76,74,74,103,2019-03-31
이도2동,49769,1899,165,250,341,272,396,475,2019-03-31
삼도1동,14018,690,63,85,123,125,146,148,2019-03-31
삼도2동,8319,456,35,68,70,84,88,111,2019-03-31
용담1동,7414,468,41,62,89,72,100,104,2019-03-31
용담2동,15303,908,70,107,155,166,188,222,2019-03-31
건입동,9456,632,59,81,110,101,130,151,2019-03-31
화북동,24918,1340,187,196,222,179,262,294,2019-03-31
삼양동,25108,1068,98,145,209,147,206,263,2019-03-31
봉개동,5159,316,38,45,64,45,65,59,2019-03-31
아라동,33566,1713,218,255,391,236,280,333,2019-03-31
오라동,14902,547,66,59,98,86,112,126,2019-03-31
연동,41428,1495,144,197,270,202,280,402,2019-03-31
노형동,53818,2020,217,282,376,279,390,476,2019-03-31
외도동,21474,887,84,112,173,130,183,205,2019-03-31
이호동,4537,249,15,30,39,46,57,62,2019-03-31
도두동,3106,178,10,17,38,28,37,48,2019-03-31
서귀포시,181364,11176,869,1367,1859,1810,2511,2760,2019-03-31
대정읍,21388,1379,97,178,243,245,307,309,2019-03-31
남원읍,19035,1453,122,190,224,211,349,357,2019-03-31
성산읍,15495,1154,66,120,192,200,272,304,2019-03-31
안덕면,11824,792,51,101,110,149,188,193,2019-03-31
표선면,12328,836,51,102,116,139,196,232,2019-03-31
송산동,4335,266,16,30,42,44,69,65,2019-03-31
정방동,2328,150,8,15,23,22,38,44,2019-03-31
중앙동,3843,252,19,31,48,37,56,61,2019-03-31
천지동,3589,207,9,20,33,34,52,59,2019-03-31
효돈동,5306,354,23,46,70,46,84,85,2019-03-31
영천동,5331,479,69,64,84,74,88,100,2019-03-31
동홍동,22842,1189,104,142,234,195,241,273,2019-03-31
서홍동,10474,507,45,63,103,87,106,103,2019-03-31
대륜동,14331,675,56,76,107,103,158,175,2019-03-31
대천동,13652,637,54,71,95,98,121,198,2019-03-31
중문동,11141,571,64,87,96,87,113,124,2019-03-31
예래동,4122,275,15,31,39,39,73,78,2019-03-31
