구분,업체명,객실,회의장 수,수용가능인원(명),데이터기준일자
전문회의 시설,제주국제컨벤션센터,,31실,실별 60~4300 ,2019-01-02
준회의시설,제주신화월드 랜팅컨벤션센터,특1. 2개 호텔 1.242실. 리조트 342실,14실,실별 70~2000,2019-01-02
준회의시설,해비치호텔&리조트,특1. 호텔288. 리조트215,15실,실별 15~1643,2019-01-02
준회의시설,라마다프라자제주,특1. 400실,12실,실별 50~1500,2019-01-02
준회의시설,부영호텔앤리조트,특1. 호텔262. 리조트187,9실,실별 10~1500,2019-01-02
준회의시설,휘닉스 제주,300,8실,실별 80~1500,2019-01-02
준회의시설,메종글래드,특1. 513실,7실,실별 30~1300 ,2019-01-02
준회의시설,롯데호텔제주,특1. 500실,8실,실별 60~800,2019-01-02
준회의시설,제주신라호텔,특1. 429,10실,실별 15~600,2019-01-02
준회의시설,제주KAL호텔,특1. 282,12실,실별 12~600,2019-01-02
준회의시설,대명 샤인빌,414,7실,실별 16~600,2019-01-02
준회의시설,켄싱턴 제주호텔,특1. 221,4실,실별 120~588,2019-01-02
준회의시설,제주한라대학교 한라컨벤션센터,,5실,실별 20~500,2019-01-02
준회의시설,제주오리엔탈,특1. 321실,6실,실별 20~450,2019-01-02
준회의시설,대명리조트제주,390,5실,실별 70~450,2019-01-02
준회의시설,하얏트리젠시제주,특1. 222실,12실,실별 25~300,2019-01-02
준회의시설,금호리조트제주,324,4실,실별 40~300,2019-01-02
준회의시설,서귀포 KAL호텔,특2. 225,4실,실별 70~250,2019-01-02
준회의시설,오션스위츠제주호텔,350,5실,실별 20~200,2019-01-02
